begin_file	begin_time	end_time	low_freq	high_freq
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	12.772	13.699	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	13.88	14.568	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	14.749	15.396	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	15.769	16.62	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	16.792	17.459	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	17.651	18.321	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	18.659	19.234	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	19.571	20.435	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	20.622	21.324	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	21.52	22.132	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	22.914	23.848	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	24.04	24.704	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	26.889	27.377	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	28.444	28.601	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	36.374	37.602	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	37.752	38.456	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	39.473	39.808	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	40.923	41.308	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	42.976	43.024	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	44.807	45.143	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	45.621	46.793	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	47.65	47.831	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	49.373	49.662	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	50.56	50.891	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	51.35	51.598	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	52.057	52.094	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	55.455	57.403	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	57.588	58.894	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	59.078	60.102	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	60.262	60.987	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	64.322	67.285	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	67.455	68.664	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	68.838	69.966	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	70.1132	71.075	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	71.235	72.238	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	76.94	78.366	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	84.35	86.416	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	86.61	88.035	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	88.234	89.481	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	93.324	94.963	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	95.136	96.378	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	96.588	97.533	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	97.7	98.781	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	105.175	106.367	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	106.536	107.495	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	107.67	108.702	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	108.892	109.899	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	119.377	121.423	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	121.611	122.4495	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	126.191	127.284	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	127.419	128.481	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	128.67	129.631	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	131.338	131.631	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	132.57	132.985	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	133.772	134.29	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	135.867	136.2	18000	30000
/Users/evana_anis/Desktop/VSCode/USVSEG/rat_distressed/20181026_145634_384K_1Ch_a57_r.wav	137.534	137.795	18000	30000
