file	begin_time	end_time	low_freq	high_freq	USV_TYPE
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	14.87	15.62	19531.25	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	15.74	16.24	18554.69	24902.34	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	17.12	17.59	18066.41	23925.78	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	18.97	19.36	20019.53	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	19.49	19.95	18066.41	24902.34	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	20.09	20.49	18554.69	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	21.86	22.25	19042.97	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	25.74	26.11	19531.25	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	29.95	30.36	18066.41	23437.5	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	32.99	33.36	20019.53	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	33.48	33.86	19531.25	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	39.6	40.39	18554.69	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	40.85	41.23	19531.25	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	41.98	42.71	20019.53	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	42.85	43.23	20019.53	25878.91	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	51.21	51.6	20019.53	26367.19	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	65.04	65.59	20019.53	26367.19	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	67.46	67.81	20019.53	26367.19	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	70.5	71.18	18066.41	26367.19	22khz
data/USVSEG/rat_distressed/joseph_predictions/20181026_153035_384K_1Ch_a60_r.pkl	81.83	82.25	20019.53	26367.19	22khz
